uniq_id,product_name,product_url,pid,retail_price,discounted_price,brand
7d49141435e557ef1d02fa309e30c033,"Voylla Metal, Alloy Necklace",http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdu4rzmjx3chxa?pid=NKCDU4RZMJX3CHXA,NKCDU4RZMJX3CHXA,600.0,470.0,Voylla
4d9490017eac98fb9cef517132fe4d3f,"Ndura Kadhai 1.7 L, 2 L",http://www.flipkart.com/ndura-kadhai-1-7-l-2-l/p/itme4jytrgvgnzdd?pid=PTPE4JYTPVYZ8ADY,PTPE4JYTPVYZ8ADY,1881.0,1170.0,Ndura
ba807fb7fc9408fa93fe4cf703664442,Dailyware Tasara Kadhai 2.5 L,http://www.flipkart.com/dailyware-tasara-kadhai-2-5-l/p/itmdzyce73yzje7t?pid=PTPDZYCEXGZ8SKT2,PTPDZYCEXGZ8SKT2,899.0,769.0,Dailyware
fd08a0ea6aac9a4b0d5705e38da8daf4,Voylla Alloy Necklace,http://www.flipkart.com/voylla-alloy-necklace/p/itmdyq3rgkdarwza?pid=NKCDYQ3RWGURBTAV,NKCDYQ3RWGURBTAV,610.0,303.0,Voylla
c0dc863198c83858274256cac7f09e69,Star Metal Wok Kadhai 3.5 L,http://www.flipkart.com/star-metal-wok-kadhai-3-5-l/p/itme6gzrzfnedksc?pid=PTPE6GZRTJJCSURV,PTPE6GZRTJJCSURV,850.0,699.0,Star Metal
50e587050947c53ed54c241d65a233c9,Wow Acrylic Necklace,http://www.flipkart.com/wow-acrylic-necklace/p/itme8hvpgkczsfsu?pid=NKCE8HVPEPWAU2HF,NKCE8HVPEPWAU2HF,299.0,199.0,Wow
db3c0aaf957d1110d59b436696710d3f,"Voylla Metal, Alloy Necklace",http://www.flipkart.com/voylla-metal-alloy-necklace/p/itmdu4rzcftvhfdf?pid=NKCDU4RZCFTVHFDF,NKCDU4RZCFTVHFDF,999.0,478.0,Voylla
b4522ef23b31f93fb5235271533fa66e,Gaoyitech Car Airvent Mount,http://www.flipkart.com/gaoyitech-car-airvent-mount/p/itmebuz5vh83s2zf?pid=ACCEBUZ5YFCZFECG,ACCEBUZ5YFCZFECG,999.0,399.0,Gaoyitech
4d5d230c40c2e89d858cc4e8c2acb77b,Voylla Metal Necklace,http://www.flipkart.com/voylla-metal-necklace/p/itmdxegw63gby6ux?pid=NKCDXEGWS7VWXSEJ,NKCDXEGWS7VWXSEJ,440.0,340.0,Voylla
5784fa3141e10eeaefa95ea2a90e9666,Nanson Kadhai 1.25 L,http://www.flipkart.com/nanson-kadhai-1-25-l/p/itme8dy7xphdaexx?pid=PTPE8DY7YTE77PEB,PTPE8DY7YTE77PEB,2240.0,1560.0,Nanson
